messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,1,30640,-8,-82.9689,90,15.27,-0.7
2,2,30735,-8,-163.419,90,13.3,-0.5
2,13,30840,8,101.792,270,14.4,0
2,14,30837,8,178.806,270,12.57,-0.6
2,7,30840,84.9043,-8,180,15.12,0.4
2,3,30944,-1.6,-134.103,90,16.72,0
2,1,30940,-8,-78.3844,90,15.27,-0.5
2,13,31140,8,97.4731,270,14.39,0.5
2,2,31135,-8,-158.094,90,13.31,0.4
2,7,31140,80.3699,-8,180,15.11,0.7
2,14,31237,8,173.775,270,12.58,0.3
2,3,31244,-1.6,-129.085,90,16.72,0.3
2,1,31240,-8,-73.7998,90,15.28,-0.3
2,13,31440,8,93.1546,270,14.39,-0.8
2,7,31440,75.8358,-8,180,15.1,-0.3
2,2,31535,-8,-152.769,90,13.31,-0.1
2,3,31544,-1.6,-124.068,90,16.72,0.7
2,1,31540,-8,-69.2154,90,15.28,0
2,14,31637,8,168.743,270,12.57,-0.7
2,7,31740,71.3015,-8,180,15.1,-1.1
2,13,31740,8,88.8359,270,14.39,-0.6
2,1,31840,-8,-64.6312,90,15.27,-0.7
2,3,31844,-1.6,-119.051,90,16.72,-0.2
2,2,31935,-8,-147.444,90,13.31,0
2,7,32040,66.7672,-8,180,15.11,0.5
2,14,32037,8,163.711,270,12.57,-0.4
2,13,32040,8,84.5169,270,14.39,-1.1
2,1,32140,-8,-60.0468,90,15.28,1
2,3,32144,-1.6,-114.034,90,16.72,0.6
2,2,32335,-8,-142.119,90,13.31,-0.3
2,7,32340,62.2324,-8,180,15.11,-0.1
2,13,32340,8,80.1981,270,14.39,0.3
2,15,32372,8,179.614,270,12.6,0.6
2,1,32440,-8,-55.4624,90,15.27,-0.5
2,14,32437,8,158.679,270,12.58,1.1
2,3,32444,-1.6,-109.016,90,16.72,0.4
2,7,32640,57.698,-8,180,15.11,-0.8
2,13,32640,8,75.8795,270,14.39,-0.6
2,2,32735,-8,-136.795,90,13.3,-0.6
2,1,32740,-8,-50.8778,90,15.28,0.6
2,3,32744,-1.6,-103.999,90,16.72,0.6
2,15,32772,8,174.574,270,12.59,0.4
2,14,32837,8,153.647,270,12.58,0
2,7,32940,53.1635,-8,180,15.11,1
2,13,32940,8,71.5606,270,14.4,0.1
2,4,33044,-1.6,-179.494,90,14.6,0.6
2,1,33040,-8,-46.2934,90,15.27,-0.9
2,3,33044,-1.6,-98.982,90,16.72,0
2,2,33135,-8,-131.47,90,13.31,0.2
2,15,33172,8,169.535,270,12.59,0.2
2,13,33240,8,67.2415,270,14.39,-0.9
2,14,33237,8,148.615,270,12.58,0.4
2,7,33240,48.6294,-8,180,15.1,-0.4
2,4,33344,-1.6,-175.113,90,14.6,0.6
2,1,33340,-8,-41.709,90,15.27,-0.3
2,3,33344,-1.6,-93.9649,90,16.72,0
2,13,33540,8,62.9224,270,14.4,-0.1
2,2,33535,-8,-126.145,90,13.31,0.1
2,7,33540,44.0953,-8,180,15.1,0
2,1,33540,-8,-38.6873,90,14.74,-4.4
2,15,33572,8,164.497,270,12.58,-0.9
2,14,33637,8,143.583,270,12.57,0.1
2,4,33644,-1.6,-170.732,90,14.59,-0.7
2,3,33644,-1.6,-88.9478,90,16.72,0.6
2,1,33740,-8,-35.8327,90,13.84,-4.4
2,13,33840,8,58.6038,270,14.4,0.2
2,7,33840,39.5612,-8,180,15.11,0
2,2,33935,-8,-120.82,90,13.31,-0.8
2,4,33944,-1.6,-166.352,90,14.6,0.5
2,3,33944,-1.6,-83.9303,90,16.72,0.4
2,1,33940,-8,-33.158,90,12.94,-4.4
2,15,33972,8,159.46,270,12.59,-0.2
2,20,34008,-89.5464,8,0,14.63,-1.2
2,16,34025,8,179.61,270,12.77,0.7
2,14,34037,8,138.551,270,12.57,0.1
2,13,34140,8,54.2851,270,14.39,0
2,7,34140,35.0268,-8,180,15.11,0.6
2,1,34140,-8,-30.6633,90,12.04,-4.4
2,4,34244,-1.6,-161.971,90,14.59,0.1
2,3,34244,-1.6,-78.9129,90,16.72,0
2,20,34308,-85.1532,8,0,14.64,0.5
2,2,34335,-8,-115.495,90,13.31,-0.3
2,1,34340,-8,-28.3487,90,11.14,-4.4
2,15,34372,8,154.423,270,12.59,0.8
2,16,34425,8,174.507,270,12.74,-0.7
2,13,34440,8,49.9666,270,14.39,0.2
2,14,34437,8,133.52,270,12.57,-0.2
2,7,34440,30.4925,-8,180,15.11,0
2,4,34544,-1.6,-157.59,90,14.6,0
2,3,34544,-1.6,-73.8958,90,16.71,-0.4
2,1,34540,-8,-26.214,90,10.24,-4.4
2,20,34608,-80.7602,8,0,14.64,0.2
